2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/pool/AbstractConnPool$2 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/pool/PoolEntryFuture (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/conn/PoolingHttpClientConnectionManager$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/conn/ConnectionRequest (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/concurrent/Cancellable (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/pool/AbstractConnPool$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - java/lang/management/RuntimeMXBean (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/pool/RouteSpecificPool (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/util/LangUtils (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - java/lang/management/PlatformManagedObject (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/config/ConnectionConfig (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/config/ConnectionConfig$Builder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - java/lang/management/ManagementFactory$PlatformMBeanFinder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/conn/LoggingManagedHttpClientConnection (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - java/lang/management/ManagementFactory$PlatformMBeanFinder$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/io/HttpTransportMetricsImpl (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - java/io/FilePermission$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/io/HttpTransportMetrics (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - jdk/internal/access/JavaIOFilePermissionAccess (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/io/SessionInputBufferImpl (BootstrapClassLoader)
